Date,Muscle Group,Exercise,Set Order,Weight,Unit,Reps,Note
2025-10-15,背 (Back),Pull-up,1,135,lb,5,
2025-10-13,背 (Back),Pull-up,1,135,lb,5,
2025-10-13,背 (Back),Pull-up,2,135,lb,4,
2025-10-09,背 (Back),Pull-up,1,135,lb,4,
2025-10-09,背 (Back),Pull-up,2,135,lb,5,
2025-10-07,背 (Back),Pull-up,1,135,lb,4,
2025-10-07,背 (Back),Pull-up,2,135,lb,4,
2025-10-03,背 (Back),Pull-up,1,135,lb,4,
2025-10-03,背 (Back),Pull-up,2,135,lb,5,
2025-10-02,背 (Back),Pull-up,1,135,lb,4,
2025-10-02,背 (Back),Pull-up,2,135,lb,4,
2025-09-30,背 (Back),Pull-up,1,135,lb,4,
2025-09-30,背 (Back),Pull-up,2,135,lb,4,
2025-09-29,背 (Back),Pull-up,1,135,lb,4,
2025-09-29,背 (Back),Pull-up,2,135,lb,4,
2025-09-28,背 (Back),Pull-up,1,135,lb,2,
2025-09-28,背 (Back),Pull-up,2,135,lb,2,
2025-09-28,背 (Back),Pull-up,3,135,lb,2,
